"","영화명","개봉일","누적관객수","스크린수","상영횟수","대표국적","배급사","17371"
"321","안녕, 전우치 스페셜",NA,"0","1","1","한국",NA,2017-07-24
"322","SICAF2017 경쟁: TV& 커미션드 / 온라인_2",NA,"0","1","1","기타",NA,2017-07-24
"323","첫키스만 50번째","38092","220202","1","1","미국","팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2017-07-24
"324","패왕별희 디 오리지널","42824","1085","1","1","홍콩","(주)드림팩트엔터테인먼트",2017-07-24
"325","바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전","42523","58619","1","1","영국","와이드 릴리즈(주)",2017-07-24
"326","소중한 순간들+고독한 승리",NA,"8","1","1","기타",NA,2017-07-24
"327","숀더쉽","42229","91856","1","1","영국","(주)박수엔터테인먼트",2017-07-24
"328","반지의 비밀일기",NA,"0","1","1","한국",NA,2017-07-24
"336","덩케르크","42936","1349619","1252","29518","미국","워너브러더스 코리아(주)",2017-07-17
"337","스파이더맨: 홈 커밍","42921","6855260","1617","38403","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-17
"338","47 미터","42935","439979","733","11430","영국","씨네그루(주)키다리이엔티",2017-07-17
"339","카3: 새로운 도전","42929","432344","538","6071","미국","월트디즈니컴퍼니코리아 유한책임회사",2017-07-17
"340","극장판 짱구는 못말려 : 습격!! 외계인 덩덩이","42936","137959","547","2470","일본","씨제이이앤엠(주)",2017-07-17
"341","플립","42928","267916","219","5579","미국","(주)팝엔터테인먼트",2017-07-17
"342","박열","42914","2338871","602","8832","한국","메가박스(주)플러스엠",2017-07-17
"343","내 사랑","42928","169187","212","3609","아일랜드","오드",2017-07-17
"344","예수는 역사다","42929","106388","210","1869","미국","(재)CBS",2017-07-17
"345","오즈: 신기한 마법가루","42936","54998","343","1508","러시아","(주)스마일이엔티",2017-07-17
"346","위시 어폰","42936","41830","279","2083","미국","(주)이수C&E",2017-07-17
"347","택시운전사","42949","69660","73","205","한국","(주)쇼박스",2017-07-17
"348","옥자","42915","296385","83","1302","미국","(주)넥스트엔터테인먼트월드(NEW)",2017-07-17
"349","내가 죽기 전에 가장 듣고 싶은 말","42935","28124","154","1790","미국","(주)메인타이틀픽쳐스,주식회사 키위컴퍼니",2017-07-17
"350","다크 나이트","39666","4170786","143","1549","미국","주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2017-07-17
"351","판타스틱 단편 걸작선 1",NA,"33902","3","83","기타",NA,2017-07-17
"352","군함도","42942","8296","19","36","한국","씨제이이앤엠(주)",2017-07-17
"353","트랜스포머: 최후의 기사","42907","2613915","196","872","미국","롯데쇼핑㈜롯데엔터테인먼트",2017-07-17
"354","리얼","42914","468637","58","190","한국","씨제이이앤엠(주)",2017-07-17
"355","너의 이름은.","42739","3671235","173","789","일본","메가박스(주)플러스엠",2017-07-17
"356","다이노소어 아일랜드","42935","5789","120","524","호주","(주)더블앤조이픽쳐스",2017-07-17
"357","킹 오브 프리즘 - 프라이드 더 히어로","42896","61006","27","174","일본","(주)박수엔터테인먼트",2017-07-17
"358","프란츠","42936","5484","47","265","프랑스","찬란",2017-07-17
"359","아메리칸 허니: 방황하는 별의 노래","42929","6603","42","260","영국","(주)티캐스트",2017-07-17
"360","노무현입니다","42880","1850608","30","166","한국","CGV아트하우스,영화사 풀",2017-07-17
"361","겟 아웃","42872","2138104","45","182","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-17
"362","미이라","42892","3688975","65","280","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-17
"363","빅터 영 페레즈","42929","4110","16","47","프랑스","(주)에이원엔터테인먼트",2017-07-17
"364","우리를 침범하는 것들","42936","2709","56","306","영국","그린나래미디어(주)",2017-07-17
"365","헤드윅","37477","39445","27","181","미국","(주)엣나인필름,(주)씨네월드",2017-07-17
"366","그 후","42922","17166","46","294","한국","(주)영화제작전원사 ,(주)콘텐츠판다",2017-07-17
"367","리오 그란데",NA,"2996","1","15","미국",NA,2017-07-17
"368","청년경찰","42956","1838","7","8","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-07-17
"369","빅풋 주니어","42956","1368","5","20","벨기에","(주)이수C&E",2017-07-17
"370","지랄발광 17세","42914","83218","42","154","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-17
"371","서서평, 천천히 평온하게","42851","120294","6","31","한국","커넥트픽쳐스(주)",2017-07-17
"372","원더 우먼","42886","2165330","36","124","미국","워너브러더스 코리아(주)",2017-07-17
"373","불한당: 나쁜 놈들의 세상","42872","935531","6","36","한국","씨제이이앤엠(주)",2017-07-17
"374","장산범","42964","1293","3","5","한국","(주)넥스트엔터테인먼트월드(NEW)",2017-07-17
"375","자유 결혼","21472","1885","1","15","한국",NA,2017-07-17
"376","악녀","42894","1208081","40","136","한국","(주)넥스트엔터테인먼트월드(NEW)",2017-07-17
"377","100미터","42936","1082","38","182","스페인","㈜코리아스크린,와이드 릴리즈(주)",2017-07-17
"378","블랙 쉐도우","42929","4490","97","327","미국","(주)스톰픽쳐스코리아",2017-07-17
"379","꼬마참새 리차드: 아프리카 원정대","42901","80747","6","16","독일","씨네그루(주)키다리이엔티",2017-07-17
"380","뜨거운 양철 지붕 위의 고양이",NA,"7737","1","15","미국",NA,2017-07-17
"381","재꽃","42922","4196","26","145","한국","딥 포커스",2017-07-17
"382","불온한 당신","42936","1417","14","56","한국","무브먼트",2017-07-17
"383","어폴로지","42810","9346","2","7","캐나다","(주)영화사 그램",2017-07-17
"384","사랑의 매혹",NA,"677","1","18","미국",NA,2017-07-17
"385","파밍 보이즈","42929","2277","24","120","한국","(주)영화사 진진",2017-07-17
"386","꼬마돼지 베이브의 대모험","42901","42370","4","14","독일","(주)박수엔터테인먼트",2017-07-17
"387","직지코드","42914","9262","15","63","한국","(주)엣나인필름",2017-07-17
"388","엘르","42901","35029","9","36","프랑스","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-17
"389","분노의 포도",NA,"1869","1","8","미국",NA,2017-07-17
"390","80일간의 세계일주",NA,"4422","1","6","미국",NA,2017-07-17
"391","카라마조프가의 형제들",NA,"4816","1","6","미국",NA,2017-07-17
"392","보안관","42858","2588444","1","2","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-07-17
"393","더 바","42901","4413","4","5","스페인","(주)영화사 그램",2017-07-17
"394","올 리브 올리브","42929","1801","19","113","한국","(주)시네마달",2017-07-17
"395","하루","42901","1129600","5","21","한국","CGV아트하우스",2017-07-17
"396","백사부인","22191","1514","1","10","한국",NA,2017-07-17
"397","언더더씨","42908","49930","4","14","미국","(주)팝엔터테인먼트",2017-07-17
"398","킹 오브 프리즘","42593","105050","1","2","일본","(주)박수엔터테인먼트",2017-07-17
"399","암고양이들","42943","376","1","3","일본","홀리가든,(주)오렌지옐로우하임",2017-07-17
"400","야성녀",NA,"318","1","15","미국",NA,2017-07-17
"401","헨리 5세",NA,"2679","1","4","영국",NA,2017-07-17
"402","부니베어: 로거빅 컴백홈 프로젝트","42915","25901","4","13","중국","예지림엔터테인먼트",2017-07-17
"403","상류사회",NA,"1389","1","6","미국",NA,2017-07-17
"404","샤인","35455","16081","4","25","호주","(주)라이크 콘텐츠",2017-07-17
"405","에스더의 왕",NA,"1270","1","4","이탈리아",NA,2017-07-17
"406","슈퍼배드 3","42942","274","1","1","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-17
"407","돈","18331","852","1","12","한국",NA,2017-07-17
"408","모정","26642","16197","1","6","미국",NA,2017-07-17
"409","투란도트","42407","2705","11","11","독일","(주)케빈앤컴퍼니",2017-07-17
"410","루살카","42917","925","11","19","미국","(주)인스터피씨엠",2017-07-17
"411","국내단편2: 깊은 밤을 날아서",NA,"235","1","3","한국",NA,2017-07-17
"412","정무문","26872","6506","1","7","홍콩","(주)영화사 빅",2017-07-17
"413","레이디 맥베스","42950","504","1","2","영국","주식회사 씨네룩스",2017-07-17
"414","동주","42417","1175143","1","1","한국","메가박스(주)플러스엠",2017-07-17
"415","보스 베이비","42858","2451919","1","1","미국","씨제이이앤엠(주)",2017-07-17
"416","송 투 송","42942","465","1","1","미국","CGV아트하우스",2017-07-17
"417","용순","42894","13089","8","28","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-07-17
"418","오두막","42845","74676","1","16","미국","판씨네마(주)",2017-07-17
"419","폭풍의 언덕",NA,"7728","1","9","미국",NA,2017-07-17
"420","꿈의 제인","42886","24103","7","23","한국","(주)엣나인필름,CGV아트하우스",2017-07-17
"421","국내단편1: 퀴어 파노라마",NA,"203","1","3","한국",NA,2017-07-17
"422","극장판 쿠로코의 농구 라스트 게임","42852","62350","1","2","일본","(주)박수엔터테인먼트",2017-07-17
"423","세인트 메리의 종",NA,"1055","1","3","미국",NA,2017-07-17
"424","첫키스만 50번째","38092","220202","6","20","미국","팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2017-07-17
"425","파리로 가는 길","42950","186","1","1","미국","(주)티캐스트",2017-07-17
"426","로스트 인 파리","42873","26873","2","14","프랑스","그린나래미디어(주)",2017-07-17
"427","뮤지컬 쉬 러브즈 미","42922","3952","10","37","미국","C 무비",2017-07-17
"428","에이리언: 커버넌트","42864","1307186","2","9","미국","이십세기폭스코리아(주)",2017-07-17
"429","비스티걸스","42929","441","5","23","한국","(주)마고필름",2017-07-17
"430","발레리나","42775","202856","1","1","프랑스","판씨네마(주)",2017-07-17
"431","엄마의 직업","42936","161","20","20","한국","(주)마이애미미디어",2017-07-17
"432","금지된 애욕","42935","154","20","20","한국","(주)케이알씨지",2017-07-17
"433","마술피리","41853","4589","8","8","독일","(주)쓰리캣프로덕션",2017-07-17
"434","라라랜드","42711","3506506","1","2","미국","판씨네마(주)",2017-07-17
"435","돈 슬립","42935","142","1","1","미국","(주)제이앤씨미디어그룹",2017-07-17
"436","나는 고양이로소이다","42894","8342","1","4","한국","(주)리틀빅픽쳐스",2017-07-17
"437","비포 선라이즈","35154","56617","1","2","미국","(주)드림팩트엔터테인먼트",2017-07-17
"438","파리의 밤이 열리면","42908","5824","3","21","프랑스","찬란",2017-07-17
"439","캐리비안의 해적: 죽은 자는 말이 없다","42879","3049755","2","4","미국","월트디즈니컴퍼니코리아 유한책임회사",2017-07-17
"440","사랑은 비를 타고",NA,"6852","1","8","미국",NA,2017-07-17
"441","청춘 합창단 - 또 하나의 꿈","42901","7199","1","2","한국","와이드 릴리즈(주)",2017-07-17
"442","착한 엄마 친구","42936","127","20","20","한국","(주)영화사 사계절",2017-07-17
"443","비포 미드나잇","41416","209089","1","2","미국","(주)팝엔터테인먼트",2017-07-17
"444","비포 선셋","38282","125834","1","2","미국","THE 픽쳐스,워너브러더스 코리아(주)",2017-07-17
"445","플래툰","31962","3400","1","5","미국","이언픽쳐스",2017-07-17
"446","열녀문",NA,"3867","1","2","한국",NA,2017-07-17
"447","커런트이슈1: 빈 칸을 채우는 일에 대하여",NA,"115","1","2","기타",NA,2017-07-17
"448","러스트 앤 본","41396","32165","1","1","프랑스","그린나래미디어(주)",2017-07-17
"449","토마스와 친구들: 수수께끼 해적선과 보물찾기","42915","23380","10","29","영국","KBS 미디어",2017-07-17
"450","무현, 두 도시 이야기","42669","193686","1","1","한국","(주)모멘텀엔터테인먼트",2017-07-17
"451","웨스트 사이드 스토리","36309","4109","1","8","미국",NA,2017-07-17
"452","나의 위대한 친구, 세잔","42719","20535","1","1","프랑스","그린나래미디어(주)",2017-07-17
"453","안녕하세요 하나님","32135","199","1","3","한국",NA,2017-07-17
"454","퀴어미드나잇",NA,"95","1","1","기타",NA,2017-07-17
"455","무정",NA,"94","1","5","한국",NA,2017-07-17
"456","유죄",NA,"93","1","2","독일",NA,2017-07-17
"457","원라인","42823","434869","1","1","한국","(주)넥스트엔터테인먼트월드(NEW)",2017-07-17
"458","싸이코",NA,"5451","1","2","미국","(주)영화사 안다미로",2017-07-17
"459","누구를 위하여 종은 울리나","26376","15373","1","3","미국",NA,2017-07-17
"460","댄서","42838","44503","2","4","영국","(주)엣나인필름",2017-07-17
"461","마샤 존슨의 삶과 죽음",NA,"88","1","1","미국",NA,2017-07-17
"462","선셋 대로",NA,"2395","1","1","미국",NA,2017-07-17
"463","프랭크","41907","52887","1","1","영국","(주)영화사 진진",2017-07-17
"464","새",NA,"2298","1","1","미국","(주)영화사 안다미로",2017-07-17
"465","현기증",NA,"7422","1","1","미국","(주)영화사 안다미로",2017-07-17
"466","안티포르노","42901","1920","1","3","일본","홀리가든,(주)오렌지옐로우하임",2017-07-17
"467","해외단편1",NA,"77","1","2","기타",NA,2017-07-17
"468","미국의 암흑가",NA,"161","1","2","미국",NA,2017-07-17
"469","렛 미 인","39765","100477","1","1","스웨덴","씨네그루(주)다우기술,(주)영화사구안",2017-07-17
"470","순수의 시대","34594","164","1","2","미국",NA,2017-07-17
"471","베를린 신드롬","42922","7011","2","9","호주","예지림엔터테인먼트",2017-07-17
"472","한여름의 판타지아","42166","36832","1","1","한국","㈜인디스토리",2017-07-17
"473","특별전3. 브릴리언트 모먼트:퀴어, 반짝반짝 빛나는",NA,"62","1","1","한국",NA,2017-07-17
"474","해외단편2",NA,"62","1","1","기타",NA,2017-07-17
"475","사랑과 욕망의 짐노페디","42922","453","2","9","일본","홀리가든,(주)오렌지옐로우하임",2017-07-17
"476","퀴프초이스",NA,"60","1","1","기타",NA,2017-07-17
"477","키스 미 데들리",NA,"155","1","1","미국",NA,2017-07-17
"478","지금, 이대로가 좋아요","39926","21645","1","1","한국","(주)스폰지이엔티,스폰지",2017-07-17
"479","뷰티 인사이드","42236","2054386","1","1","한국","(주)넥스트엔터테인먼트월드(NEW)",2017-07-17
"480","기쿠지로의 여름","37498","1345","1","2","일본","(주)영화사 진진,(주)튜브엔터테인먼트",2017-07-17
