"","영화명","개봉일","대표국적","배급사","영화명","screen","playtt","people","weekkk"
"237","미워도 다시 한번","1968-07-16","한국","","2016 한국영화아카데미 졸업영화제 섹션B",1,3,0,2016-01-21
"238","제거자","2015-01-08","미국","스크린조이","2016 한국영화아카데미 졸업영화제 섹션C",1,6,0,2016-01-21
"239","지존본색","1990-12-29","홍콩","스크린조이","2017 으랏차차 독립영화",1,1,11,2017-02-09
"243","버드맨","2015-03-05","미국","이십세기폭스코리아(주)","2017 한국영화아카데미 33기 졸업영화제 - A",2,3,414,2017-01-19
"250","작은 아씨들","","미국","","2017 한국영화아카데미 33기 졸업영화제 - B",2,3,414,2017-01-19
"252","미스터 터너","2015-01-22","영국","(주)영화사 진진","2017 한국영화아카데미 33기 졸업영화제 - C",2,3,414,2017-01-19
"253","생각보다 맑은","2015-01-22","한국","애니메이션 배급, 씨앗,㈜인디스토리","2017 한국영화아카데미 33기 졸업영화제 - D",1,3,414,2017-01-19
"254","라 보엠","2014-08-02","미국","(주)인스터피씨엠","2017 한국영화아카데미 33기 졸업영화제 - 개막작",1,1,160,2017-01-19
"259","질투","2015-04-09","프랑스","찬란","2017 한국영화아카데미 33기 졸업영화제 - 실습작 A",1,1,94,2017-01-19
"260","제로법칙의 비밀","2014-08-14","미국","와이드 릴리즈(주)","2017 한국영화아카데미 33기 졸업영화제 - 실습작 B",1,1,94,2017-01-19
"261","메멘토","2001-08-24","미국","(주)팝엔터테인먼트","2035 매드 레이스",1,1,1,2017-06-22
"268","올드 독","","중국","","2047: 지구 최후의 날",1,1,1,2015-07-30
"271","고요한 마니석","","중국","","20대 같은 40대 미시녀",1,1,1,2017-01-05
"273","돌싱녀의 성접대의혹","2015-01-14","일본","페퍼민트픽쳐스","20세여 다시 한 번",2,5,445,2015-10-29
"274","위기의 유부녀들 3 - 옆집 남편과","2015-01-14","일본","(주)도키엔터테인먼트","21 그램",3,3,112,2017-01-19
"275","캐치헬","2015-01-13","미국","(주)미디어로그","21번가의 살인자",11,12,212,2015-01-01
"276","컨트랙티드","2015-01-12","미국","(주)나우콘텐츠","22(용기 있는 삶)",2,2,4,2016-09-22
"278","나팔바지 휘날리던 1983년","","중국","","22분: 아덴만 구출작전",6,18,204,2016-04-14
