"","people","mv_name","screen","play_t","play_wk","re_open","top_country","record_month","record_date","month_week","top_sup"
"12119",14,"한 밤의 외출",1,2,1,0,1,"3",29,"5",0
"12120",39312,"한 번 더 해피엔딩",316,4106,7,0,1,"1",19,"3",0
"12121",18,"한 여름밤",1,2,1,0,0,"3",29,"5",0
"12122",362,"한 여름밤의 꿈",1,12,1,1,1,"2",2,"1",0
"12123",1968,"한강블루스",31,143,8,0,1,"1",23,"4",0
"12124",39,"한경직",1,2,1,1,1,"1",16,"3",0
"12125",354,"한공주",9,21,8,0,1,"4",8,"2",0
"12126",14,"한국 환경영화의 흐름 단편",1,1,1,0,1,"1",5,"1",0
"12127",11,"한국 환경영화의 흐름 단편 1",1,2,1,0,1,"1",7,"1",0
"12128",0,"한국 환경영화의 흐름 단편 2",1,1,1,0,1,"1",7,"1",0
"12129",4,"한국경쟁 : 단편묶음",1,2,1,0,1,"3",17,"3",0
"12130",12,"한국다큐쇼케이스 단편",1,2,1,0,1,"3",22,"4",0
"12131",0,"한국독립영화제연대 초청 - 2015 전북독립영화제",1,1,1,0,1,"3",5,"1",0
"12132",10,"한국쇼케이스 : 단편묶음",1,2,1,0,1,"3",17,"3",0
"12133",44,"한나 아렌트",2,3,2,0,0,"1",25,"4",0
"12134",690,"한니발",3,21,3,0,0,"1",19,"3",0
"12135",1523,"한말풍운과 민충정공",4,32,4,0,1,"3",29,"5",0
"12136",108,"한밤의 사무실정사",2,2,2,0,1,"1",5,"1",0
"12137",10,"한밤의 살인자",1,1,1,0,1,"2",18,"3",0
"12138",1238,"한밤의 아이들",18,106,5,0,0,"2",18,"3",0
"12139",400,"한양 기방 춘향뎐",24,31,3,0,1,"3",26,"4",0
"12140",395,"한양기방 명기전",25,28,2,0,1,"4",24,"4",0
"12141",54,"한여름 밤의 유혹",1,1,1,0,1,"2",13,"2",0
"12142",36667,"한여름의 판타지아",310,2878,46,0,1,"4",1,"1",0
"12143",1,"한잔 술과 전라 정사",1,1,1,0,1,"2",2,"1",0
"12144",54,"할 때까지 안 보낼꺼야",1,1,1,0,1,"2",16,"3",0
"12145",0,"할 수 있는 자가 구하라",1,3,1,1,1,"2",11,"2",0
"12146",15,"할렐루야",4,4,4,0,1,"4",26,"4",0
"12147",227,"할로윈",3,3,3,0,1,"2",4,"1",0
"12148",21,"할매-서랍",2,3,2,0,1,"1",9,"2",0
"12149",3,"할매 연작",1,1,1,0,1,"3",12,"2",0
"12150",175,"할머니가 간다!",1,1,1,0,0,"3",17,"3",0
"12151",60,"할머니는 일학년",2,3,2,1,1,"2",23,"4",0
