순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
75,파이트 클럽,1999-11-13,"2,331,500",0.0%,"122,897,700",289,"15,577",4,29,미국,미국,"아트린슨프로덕션즈,폭스2000픽처스,리젠시 엔터프라이즈,타우러스 필름",(주)팝엔터테인먼트,"18세관람가,청소년관람불가","액션,범죄,드라마,스릴러",데이빗 핀처,"브래드 피트,에드워드 노튼,헬레나 본햄 카터"
76,원한의 도곡리 다리,,"556,000",0.0%,"7,356,000",278,"3,687",1,8,미국,미국,,,,"드라마,전쟁",마크 로브슨,"윌리엄 홀든,그레이스 켈리"
77,비틀스: 에잇 데이즈 어 위크 ? 투어링 이어즈,2016-10-19,"2,453,000",0.0%,"136,504,025",277,"17,107",2,14,영국,"영국,미국",,메가박스(주)플러스엠,12세이상관람가,"드라마,다큐멘터리",론 하워드,"존 레논,폴 매카트니,조지 해리슨,링고 스타"
78,시카고,2003-03-28,"2,181,000",0.0%,"11,679,900",275,"1,705",2,2,미국,미국,,"씨네그루(주)키다리이엔티,코리아픽쳐스(주)","15세관람가,15세이상관람가","뮤지컬,드라마,범죄,코미디",롭 마샬,"르네 젤위거,캐서린 제타-존스,리차드 기어"
79,폭풍의 언덕,,"563,000",0.0%,"13,126,000",274,"6,536",1,4,미국,미국,,,,드라마,윌리엄 와일러,"로렌스 올리비에,메를 오베론"
80,마이 골든 데이즈,,"2,189,500",0.0%,"2,189,500",272,272,3,8,프랑스,프랑스,,(주)블룸즈베리리소시스리미티드,청소년관람불가,"멜로/로맨스,드라마",아르노 데스플레생,"쿠엔틴 돌마이레,루 로이 레콜리넷,마티유 아말릭"
81,어바웃 레이,2016-11-24,"2,112,000",0.0%,"3,669,505",264,465,1,2,미국,미국,,오퍼스픽쳐스,15세이상관람가,"코미디,드라마",게비 델랄,"엘르 패닝,나오미 왓츠,수잔 서랜든"
82,이터너티,2017-05-18,"2,063,500",0.0%,"2,063,500",259,259,3,9,프랑스,프랑스,,(주)라이크 콘텐츠,12세이상관람가,멜로/로맨스,트란 안 홍,"멜라니 로랑,오드리 토투,베레니스 베조,제레미 레니에,펠릭스 보쉬"
83,계춘할망,2016-05-19,"1,114,000",0.0%,"3,600,794,348",257,"482,516",1,2,한국,한국,"지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",(주)콘텐츠 난다긴다,15세이상관람가,"가족,드라마",창,"윤여정,김고은,김희원,신은정,최민호,류준열,양익준,박민지,남태부,강경탁,안지혜,이상화,이슬비,이윤혁"
84,키즈모노가타리 II : 열혈편,2016-10-20,"1,941,000",0.0%,"122,123,000",256,"15,800",4,27,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,드라마,판타지,액션",신보 아키유키,"카미야 히로시,사카모토 마아야,호리에 유이,사쿠라이 타카히로"
85,벽 속의 여자,,"508,000",0.0%,"9,124,000",254,"3,988",1,5,한국,한국,,,,드라마,박종호,남궁원
86,야근 대신 뜨개질,2016-11-17,"1,764,000",0.0%,"3,569,000",252,545,2,2,한국,한국,(주)영화사 진진,(주)영화사 진진,12세이상관람가,다큐멘터리,박소현,"김민수,지유나"
87,카라마조프가의 형제들,,"502,000",0.0%,"6,932,000",251,"3,449",1,9,미국,미국,,,,드라마,리차드 브룩스,"율 브린너,마리아 쉘"
88,벨빌의 세 쌍둥이,2016-10-27,"2,024,000",0.0%,"13,549,900",250,"1,668",6,31,프랑스,"프랑스,벨기에,캐나다,영국",,찬란,12세이상관람가,"애니메이션,코미디",실뱅 쇼메,
89,아프리칸 닥터,2016-11-03,"1,616,600",0.0%,"8,682,500",247,"1,290",6,32,프랑스,프랑스,,M&M 인터내셔널,12세이상관람가,"코미디,드라마",줄리앙 람발디,"마크 진가,아이사 마이가,조나단 랑베르,루퍼스"
90,"내 어깨 위 고양이, 밥",2017-01-04,"1,762,500",0.0%,"1,762,500",234,234,1,2,영국,영국,,(주)누리픽쳐스,12세이상관람가,드라마,로저 스포티스우드,"루크 트레더웨이,루타 게드민타스,조앤 프로갯,안소니 헤드"
91,마지막 레슨,,"1,906,200",0.0%,"3,927,200",221,520,3,8,프랑스,프랑스,,,12세이상관람가,가족,파스칼 포자두,"마르뜨 빌라롱가,상드린 보네르,앙트완 뒬레리,질 코엔"
92,실크 스타킹,,"403,000",0.0%,"957,000",209,486,1,6,미국,미국,,,,드라마,루벤 마물리안,"프레드 아스테어,시드 채리스"
93,토마스와 친구들: 용감한 기관차와 괴물소동,2016-10-13,"1,040,000",0.0%,"188,096,400",208,"26,493",3,4,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,롭 실베스트리,
