순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
65,열정같은소리하고있네,2015-11-25,2440000 ,0,4761399902 ,305 ,654407 ,1 ,2 ,한국,한국,반짝반짝영화사(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정기훈,"정재영,박보영,오달수,배성우,류덕환,류현경,진경,윤균상,최홍원,김보람,김정훈,서동원,신정훈,육진영,이미경,이상훈,이영진,이병준,유하복"
66,그놈이다,2015-10-28,2384000 ,0,8098811152 ,298 ,1046313 ,1 ,1 ,한국,한국,상상필름(주),CGV아트하우스,15세이상관람가,스릴러,윤준형,"주원,유해진,이유영,류혜영,서현우,이준혁,윤석진,김민서,김현정,박지윤,장인섭,윤다경"
67,백경,2008-03-15,538000 ,0,10568000 ,269 ,5057 ,1 ,4 ,영국,영국,,,,"드라마,어드벤처",존 휴스턴,"그레고리 펙,리차드 베이스하트,레오 겐"
68,아이다 라스칼라,2015-12-05,6769500 ,0,46090000 ,268 ,2108 ,5 ,14 ,독일,독일,,(주)케빈앤컴퍼니,12세이상관람가,공연,페터 슈타인,
69,피아노의 숲,2008-10-30,1754000 ,0,224268800 ,246 ,35273 ,4 ,21 ,일본,일본,,"(주)이모션픽처스,THE 픽쳐스",전체관람가,"애니메이션,드라마,판타지",코지마 마사유키,"우에토 아야,카미키 류노스케"
70,대탈주,,443000 ,0,589000 ,227 ,300 ,1 ,2 ,미국,미국,,,,"액션,전쟁",,
71,보루토 - 나루토 더 무비,2015-12-10,1686500 ,0,477965900 ,225 ,64267 ,1 ,12 ,일본,일본,,와이드 릴리즈(주),12세이상관람가,애니메이션,야마시타 히로유키,"산페이 유코,키쿠치 코코로,타케우치 준코,스기야마 노리아키,키지마 류이치,아베 아츠시,Kensho Ono,하야미 사오리"
72,뷰티 인사이드,2015-08-20,1813200 ,0,16149981731 ,215 ,2053612 ,1 ,8 ,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"판타지,멜로/로맨스",백,"오상철,한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,유재상,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,이미도,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,신동미,이진성,김시은"
73,프리덤,2015-11-19,1311000 ,0,736910100 ,210 ,106120 ,4 ,21 ,미국,미국,,(주)씨타마운틴픽쳐스,12세이상관람가,"드라마,가족",피터 쿠센스,"쿠바 구딩 주니어,베르나르드 포처,윌리엄 새들러"
74,타이밍,2015-12-10,1836000 ,0,290147800 ,204 ,38436 ,2 ,2 ,한국,한국,"(주)효인엔터테인먼트,베데코리아",(주)스톰픽쳐스코리아,15세이상관람가,애니메이션,"민경조,박대열","엄상현,박지윤,성완경"
75,스파이 브릿지,2015-11-05,1624000 ,0,2051232478 ,203 ,265075 ,1 ,1 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"스릴러,드라마",스티븐 스필버그,"톰 행크스,마크 라이런스,오스틴 스토웰"
76,시네마 천국,1990-07-07,1764000 ,0,224388500 ,196 ,34692 ,1 ,1 ,프랑스,"프랑스,이탈리아",,(주)팝엔터테인먼트,전체관람가,"드라마,멜로/로맨스",쥬세페 토르나토레,"브리지트 포세이,자끄 페렝,필립 느와레,살바토레 카시오,마르코 레오나르디"
77,헝거게임: 더 파이널,2015-11-18,1512000 ,0,6070679163 ,189 ,806709 ,1 ,1 ,미국,미국,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처",프란시스 로렌스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,필립 세이모어 호프만,줄리안 무어,우디 해럴슨,엘리자베스 뱅크스,도날드 서덜랜드"
78,겁쟁이 페달: 더 무비,2016-01-14,1080000 ,0,1080000 ,180 ,180 ,1 ,1 ,일본,일본,,(주)미디어캐슬,전체관람가,애니메이션,나가누마 노리히로,
79,지금은맞고그때는틀리다,2015-09-24,1445500 ,0,659241100 ,179 ,79982 ,3 ,19 ,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)넥스트엔터테인먼트월드(NEW)",청소년관람불가,드라마,홍상수,"정재영,김민희,윤여정,기주봉,최화정,유준상,서영화,고아성"
80,헤이트풀8,2016-01-07,1263000 ,0,7880000 ,167 ,926 ,2 ,2 ,미국,미국,,(주)누리픽쳐스,청소년관람불가,"액션,스릴러,서부극(웨스턴)",쿠엔틴 타란티노,"사무엘 L. 잭슨,커트 러셀,제니퍼 제이슨 리,월튼 고긴스,데미안 비쉬어,팀 로스,마이클 매드슨,브루스 던,채닝 테이텀"
81,황야의 7인,1972-11-02,332000 ,0,9973000 ,166 ,4736 ,1 ,3 ,미국,미국,유나이티드 아티스트,,,"드라마,서부극(웨스턴),어드벤처",존 스터지스,"율 브린너,엘리 왈라치"
82,세상의 끝에서 커피 한잔,2015-11-05,1352000 ,0,29305000 ,161 ,3901 ,2 ,10 ,일본,"일본,대만",,(주)도키엔터테인먼트,12세이상관람가,드라마,치앙시우청,"나가사쿠 히로미,사사키 노조미"
83,가름워즈: 마지막 예언자,2015-12-03,1168000 ,0,9978500 ,146 ,1359 ,1 ,1 ,일본,"일본,캐나다",,(주)박수엔터테인먼트,12세이상관람가,"액션,SF,스릴러",오시이 마모루,"랜스 헨릭슨,케빈 두런드,멜라니 생피에르,섬머 H. 하웰"
84,글로리데이,2016-03-24,1152000 ,0,2824800 ,144 ,298 ,1 ,2 ,한국,한국,(주)보리픽쳐스,(주)엣나인필름,15세이상관람가,드라마,최정열,"지수,김준면,류준열,김희찬,김동완,김종수,문희경,유하복,이주실,이춘우,장시원,박성인,정다연,배연수,정지상,안병래,여기한,조제웅,유승완,윤기현,윤민영,이상희,이성훈,최승민,한보람,김용"
85,파더 앤 도터,2015-12-10,875000 ,0,465091100 ,136 ,60958 ,3 ,13 ,미국,"미국,이탈리아",,(주)박수엔터테인먼트,15세이상관람가,드라마,가브리엘 무치노,"아만다 사이프리드,러셀 크로우,아론 폴"
86,소셜포비아,2015-03-12,1091500 ,0,1966781663 ,135 ,250147 ,2 ,8 ,한국,한국,한국영화아카데미,CGV아트하우스,15세이상관람가,"스릴러,드라마",홍석재,"변요한,이주승,하윤경,이강욱,류준열,배유람,임지호,엄기성,하상명,전신환,김종수,남문철"
87,스윗 프랑세즈,2015-12-03,1152000 ,0,154467300 ,133 ,20802 ,3 ,7 ,영국,"영국,프랑스,미국",,그린나래미디어(주),15세이상관람가,"멜로/로맨스,전쟁",사울 딥,"미쉘 윌리엄스,마티아스 쇼에나에츠"
